Statistic,Empirical,Composite (95%),Composite (99%)
Mean,1919.759053990376,1919.7868024385907,1954.8922697724227
Std Dev,217.88831795525962,285.37072338202324,375.3612160536652
Minimum,1222.652702,1344.26191316071,1368.6174505326671
Maximum,3613.039539,12853.572935356568,10854.620932216589
50% Quantile,1894.5468245000002,1881.772092753367,1879.7332633013812
95% Quantile,2315.8302639999997,2332.9884681396925,2494.0279169125038
99% Quantile,2530.5649724600003,2671.3076842932546,3303.34862107319
99.5% Quantile,2613.4877202800003,2908.2276816705476,3880.715520189741
99.9% Quantile,2800.442620871045,4090.0179657842077,5483.604832922173
