Metric,Empirical,Theoretical,Hybrid 95.5,Hybrid 96.5,Hybrid 97.5,Hybrid 98.5,Hybrid 99.5
mean,2439.927838303334,2422.5188174082346,2459.2394386524993,2473.539085310622,2448.0107075879077,2506.0130762917984,3026.52131578363
std,227.38508922548075,401.15744977399055,607.4479540380836,702.8770851434041,410.1874224514234,856.6262391736169,8404.896590677572
q99,3089.844082893333,3722.407884197351,3511.2266613556817,3723.8579999190356,3706.695651368141,4354.573571282821,9738.648967804513
q999,3393.045934386349,7402.777521357634,8297.698409788854,6390.864005289488,5788.489870920271,12753.517364876547,122691.39094870914
tail_mean,3004.2230891466666,3566.429495992966,3664.2505611740817,3802.964974908471,3585.101428381828,4504.144145940841,14488.527405862655
tail_std,144.3884776019096,990.4049242237703,2096.660428704469,2463.2570171926222,1079.2538098798057,2936.534926594126,35512.82373824122
tail_kl_div,,,,,,,
mean_abs_error,205.89129461133336,230.85311358929778,237.29878535574474,250.9336542924278,236.72584854929468,301.81711976314324,825.9375101899554
rmse,261.7118450935822,407.96653541686555,635.5541943841306,732.8720326103313,434.93967507070744,885.011498368055,8451.245133376007
time,0.00881632169087728,0.07138697306315105,2.1194187005360923,2.0597458680470786,1.9824293454488118,1.8936399618784587,1.817550261815389
